,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1558,SUDARSCHEM,Sudarshan Chemical Industries Limited,EQ,1995-01-25 00:05:00,2,1,INE659A01023,2
543,GFLLIMITED,GFL Limited,EQ,1995-01-25 00:05:00,1,1,INE538A01037,1
342,COSMOFIRST,COSMO FIRST LIMITED,EQ,1995-01-25 00:05:00,10,1,INE757A01017,10
256,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,1995-01-26 00:04:00,2,1,INE032A01023,2
711,IFCI,IFCI Limited,EQ,1995-01-26 00:04:00,10,1,INE039A01010,10
1467,SHREECEM,SHREE CEMENT LIMITED,EQ,1995-01-26 00:04:00,10,1,INE070A01015,10
659,HIL,HIL Limited,EQ,1995-01-26 00:04:00,10,1,INE557A01011,10
268,BSL,BSL Limited,EQ,1995-01-27 00:07:00,10,1,INE594B01012,10
1600,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,EQ,1995-01-27 00:07:00,10,1,INE123C01018,10
139,ASHIMASYN,Ashima Limited,EQ,1995-01-27 00:07:00,10,1,INE440A01010,10
1829,ZODIACLOTH,Zodiac Clothing Company Limited,EQ,1995-01-27 00:09:00,10,1,INE206B01013,10
942,LIBERTSHOE,Liberty Shoes Limited,EQ,1995-01-27 00:09:00,10,1,INE557B01019,10
1657,TIL,TIL Limited,BZ,1995-01-27 00:09:00,10,1,INE806C01018,10
1384,S&SPOWER,S&S Power Switchgears Limited,BE,1995-01-27 00:09:00,10,1,INE902B01017,10
1102,NATCOPHARM,Natco Pharma Limited,EQ,1995-01-27 00:12:00,2,1,INE987B01026,2
349,CRISIL,CRISIL Limited,EQ,1995-01-28 00:06:00,1,1,INE007A01025,1
1517,SOTL,Savita Oil Technologies Limited,EQ,1995-01-28 00:06:00,2,1,INE035D01020,2
1431,SEAMECLTD,Seamec Limited,EQ,1995-01-28 00:06:00,10,1,INE497B01018,10
18,ABAN,Aban Offshore Limited,EQ,1995-01-29 00:03:00,2,1,INE421A01028,2
710,IFBIND,IFB Industries Limited,EQ,1995-01-29 00:03:00,10,1,INE559A01017,10
1377,RUBYMILLS,The Ruby Mills Limited,EQ,1995-01-29 00:03:00,5,1,INE301D01026,5
378,DCM,DCM  Limited,EQ,1995-01-29 00:03:00,10,1,INE498A01018,10
400,DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,1995-01-29 00:03:00,10,1,INE041A01016,10
1440,SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,1995-01-29 00:03:00,2,1,INE630A01024,2
753,INEOSSTYRO,INEOS Styrolution India Limited,EQ,1995-01-29 00:03:00,10,1,INE189B01011,10
357,CUMMINSIND,Cummins India Limited,EQ,1995-01-29 00:03:00,2,1,INE298A01020,2
1307,RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ,1995-01-29 00:03:00,10,1,INE562B01019,10
611,GTL,GTL Limited,EQ,1995-01-29 00:03:00,10,1,INE043A01012,10
1215,PCBL,PCBL LIMITED,EQ,1995-01-29 00:03:00,1,1,INE602A01031,1
1191,ORIENTPPR,Orient Paper & Industries Limited,EQ,1995-01-29 00:03:00,1,1,INE592A01026,1
1195,OSWALAGRO,Oswal Agro Mills Limited,EQ,1995-01-29 00:03:00,10,1,INE142A01012,10
935,LAXMIMACH,Lakshmi Machine Works Limited,EQ,1995-01-29 00:03:00,10,1,INE269B01029,10
1234,PIDILITIND,Pidilite Industries Limited,EQ,1995-01-29 00:03:00,1,1,INE318A01026,1
481,EVERESTIND,Everest Industries Limited,EQ,1995-01-29 00:03:00,10,1,INE295A01018,10
1349,RIIL,Reliance Industrial Infrastructure Limited,EQ,1995-01-29 00:11:00,10,1,INE046A01015,10
1335,RELIANCE,Reliance Industries Limited,EQ,1995-01-29 00:11:00,10,1,INE002A01018,10
1333,RELCAPITAL,Reliance Capital Limited,BE,1995-01-29 00:11:00,10,1,INE013A01015,10
734,INDIANHUME,Indian Hume Pipe Company Limited,EQ,1995-01-30 00:08:00,2,1,INE323C01030,2
1169,OILCOUNTUB,Oil Country Tubular Limited,BE,1995-01-30 00:08:00,10,1,INE591A01010,10
408,DICIND,DIC India Limited,EQ,1995-01-30 00:08:00,10,1,INE303A01010,10
1648,THERMAX,Thermax Limited,EQ,1995-01-30 00:08:00,2,1,INE152A01029,2
112,APOLLOTYRE,Apollo Tyres Limited,EQ,1995-01-31 00:05:00,1,1,INE438A01022,1
144,ASIANPAINT,Asian Paints Limited,EQ,1995-01-31 00:05:00,1,1,INE021A01026,1
341,COROMANDEL,Coromandel International Limited,EQ,1995-01-31 00:05:00,1,1,INE169A01031,1
1006,MARICO,Marico Limited,EQ,1996-01-01 00:05:00,1,1,INE196A01026,1
903,KOTHARIPET,Kothari Petrochemicals Limited,EQ,1996-01-02 00:11:00,10,1,INE720A01015,10
910,KREBSBIO,Krebs Biochemicals and Industries Limited,EQ,1996-01-03 00:01:00,10,1,INE268B01013,10
800,JAYBARMARU,Jay Bharat Maruti Limited,EQ,1996-01-03 00:01:00,5,1,INE571B01028,5
996,MANGLMCEM,Mangalam Cement Limited,EQ,1996-01-03 00:01:00,10,1,INE347A01017,10
966,M&M,Mahindra & Mahindra Limited,EQ,1996-01-03 00:01:00,5,1,INE101A01026,5
43,AEGISCHEM,Aegis Logistics Limited,EQ,1996-01-03 00:04:00,1,1,INE208C01025,1
